Comment,Designator,Footprint,LCSC
"Conn_01x04_Socket","J1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Motor_DC","M1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"AO3400A","Q1,Q2,Q3,Q4","Package_TO_SOT_SMD:SOT-23","C20917"
"10k","R1,R2,R3,R4","Resistor_SMD:R_0805_2012Metric","C491222"
