Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q1,AO3400A,SOT-23,96.078,-50.1165,90,top
Q2,AO3400A,SOT-23,104.4,-50.3705,90,top
Q3,AO3400A,SOT-23,96.078,-55.5475,90,top
Q4,AO3400A,SOT-23,104.328,-55.5475,90,top
R1,10k,R_0805_2012Metric,100.4335,-49.022,0,top
R2,10k,R_0805_2012Metric,100.4335,-53.848,0,top
R3,10k,R_0805_2012Metric,100.4335,-56.134,180,top
R4,10k,R_0805_2012Metric,100.4335,-51.308,180,top
